timestamp,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes,rule_id,interface,entry,summary,suspicious,risk_type,severity,action.1,next_prediction
2025-09-26T14:20:10Z,198.51.100.23,10.0.0.5,49212,22,TCP,DENY,0,101,eth0,"['2025-09-26T14:20:10Z', '2025-09-26T14:20:12Z', '2025-09-26T14:20:15Z']",Nhiều lần cố gắng kết nối SSH từ IP ngoài (198.51.100.23) vào máy nội bộ 10.0.0.5 bị từ chối liên tiếp trong thời gian ngắn.,Có,Tấn công brute force trên dịch vụ SSH,Trung bình,Theo dõi chặt chẽ các kết nối đến 10.0.0.5 và kiểm tra log xác thực,Kẻ tấn công có thể tiếp tục thử brute force hoặc sử dụng công cụ tự động để crack mật khẩu
2025-09-26T14:20:12Z,198.51.100.23,10.0.0.5,49212,22,TCP,DENY,0,101,eth0,"['2025-09-26T15:00:00Z', '2025-09-26T15:00:05Z']","Máy nội bộ 10.0.0.5 gửi lượng dữ liệu lớn bất thường (hơn 102MB) ra ngoài qua kết nối HTTPS đến các IP ngoài (198.51.100.100 và 198.51.100.101), có thể liên quan đến các lần thử SSH trước đó.",Có,Rò rỉ dữ liệu (Data Exfiltration) sau khi có thể bị xâm nhập,Cao,Chặn ngay kết nối từ 10.0.0.5 ra ngoài và điều tra dấu hiệu compromise trên máy này,Máy 10.0.0.5 có thể tiếp tục gửi dữ liệu nhạy cảm hoặc tải thêm payload từ máy chủ C2
2025-09-26T14:20:15Z,198.51.100.23,10.0.0.5,49212,22,TCP,DENY,0,101,eth0,"['2025-09-26T16:10:00Z', '2025-09-26T16:11:00Z', '2025-09-26T16:11:10Z']","Nhiều kết nối HTTP từ các IP ngoài khác nhau (192.0.2.10, 192.0.2.11, 192.0.2.12) đến máy nội bộ 10.0.0.20 trong khoảng thời gian ngắn, với lượng dữ liệu nhỏ.",Có,Quét cổng hoặc thử tấn công DDoS trên dịch vụ web,Thấp,Giữ theo dõi lưu lượng đến 10.0.0.20 và kiểm tra ứng dụng web,Các kết nối này có thể tăng số lượng hoặc chuyển sang khai thác lỗ hổng web
2025-09-26T15:00:00Z,10.0.0.5,198.51.100.100,443,52345,TCP,ALLOW,104857600,201,eth1,"['2025-09-26T18:00:00Z', '2025-09-26T18:00:01Z', '2025-09-26T18:00:02Z']","Máy nội bộ 10.0.0.50 thực hiện nhiều kết nối SSH nhanh chóng đến máy 10.0.0.51 trên cổng 22, với lượng dữ liệu nhỏ.",Có,Di chuyển ngang (Lateral Movement) trong mạng nội bộ,Trung bình,Kiểm tra log xác thực trên 10.0.0.51 và theo dõi hoạt động của 10.0.0.50,Có thể có thêm kết nối nội bộ từ 10.0.0.50 đến các máy khác để mở rộng quyền truy cập
2025-09-26T15:00:05Z,10.0.0.5,198.51.100.101,443,52346,TCP,ALLOW,2048000,201,eth1,"['2025-09-26T19:00:00Z', '2025-09-26T19:01:00Z', '2025-09-26T19:01:05Z']","Thử kết nối MySQL từ IP ngoài vào 10.0.0.60 bị từ chối, sau đó máy này thực hiện các truy vấn DNS ra ngoài đến các IP khác nhau.",Có,Thử khai thác cơ sở dữ liệu và có thể sử dụng DNS làm kênh C2 (Command and Control),Trung bình,Giám sát lưu lượng DNS từ 10.0.0.60 và kiểm tra tính toàn vẹn của dịch vụ MySQL,Máy 10.0.0.60 có thể thực hiện thêm truy vấn DNS bất thường hoặc tải dữ liệu qua kênh này
2025-09-26T15:01:00Z,10.0.0.8,10.0.0.9,445,49152,TCP,ALLOW,5120,301,br0,"['2025-09-26T20:05:00Z', '2025-09-26T20:10:00Z', '2025-09-26T20:12:00Z']","Cố gắng kết nối SSH từ ngoài vào 10.0.0.95 bị từ chối, sau đó máy này gửi dữ liệu ra ngoài qua HTTP và HTTPS (khoảng 600KB tổng cộng).",Có,Xâm nhập qua SSH và rò rỉ dữ liệu (Data Exfiltration),Trung bình,Điều tra máy 10.0.0.95 để phát hiện dấu hiệu nhiễm mã độc và chặn outbound nếu cần,"Tương tự các trường hợp trước, máy có thể gửi thêm dữ liệu lớn hơn ra ngoài"
2025-09-26T15:02:10Z,203.0.113.45,10.0.0.10,5678,3389,TCP,DENY,0,102,eth0,"['2025-09-26T19:10:00Z', '2025-09-26T19:15:00Z', '2025-09-26T21:30:00Z', '2025-09-26T22:30:00Z']","Các máy nội bộ (10.0.0.70, 10.0.0.80, 10.0.0.112, 10.0.0.126) cố gắng kết nối SSH và FTP ra ngoài mạng, tất cả bị từ chối.",Có,"Kết nối outbound không được phép, có thể do malware trên máy nội bộ",Trung bình,Quét virus và kiểm tra các máy nội bộ này để loại bỏ phần mềm độc hại,Các máy này có thể thử các cổng khác hoặc sử dụng proxy để vượt qua chặn
2025-09-26T16:10:00Z,192.0.2.10,10.0.0.20,12345,80,TCP,ALLOW,3456,150,eth2,"['2025-09-26T21:10:00Z', '2025-09-26T23:00:00Z']",Hai máy nội bộ (10.0.0.102 và 10.0.0.200) gửi lượng dữ liệu lớn ra ngoài qua HTTP/HTTPS (hơn 1.9MB tổng cộng) mà không có ngữ cảnh rõ ràng.,Có,Rò rỉ dữ liệu tiềm ẩn (Potential Data Exfiltration),Trung bình,"Theo dõi và giới hạn bandwidth outbound từ các máy này, kiểm tra ứng dụng đang chạy",Lưu lượng outbound có thể tăng nếu đây là phần của hoạt động exfiltration đang diễn ra
2025-09-26T16:11:00Z,192.0.2.11,10.0.0.20,12346,80,TCP,ALLOW,4096,150,eth2,,,,,,,
2025-09-26T16:11:10Z,192.0.2.12,10.0.0.20,12347,80,TCP,ALLOW,5120,150,eth2,,,,,,,
2025-09-26T16:15:00Z,10.0.1.5,203.0.113.200,5678,8080,TCP,ALLOW,10240,210,eth1,,,,,,,
2025-09-26T17:00:00Z,203.0.113.55,10.0.0.30,33333,22,TCP,DENY,0,101,eth0,,,,,,,
2025-09-26T17:05:00Z,10.0.0.30,198.51.100.200,40000,80,TCP,ALLOW,8192,201,eth1,,,,,,,
2025-09-26T17:05:10Z,10.0.0.30,198.51.100.200,40001,443,TCP,ALLOW,16384,201,eth1,,,,,,,
2025-09-26T18:00:00Z,10.0.0.50,10.0.0.51,2222,22,TCP,ALLOW,128,301,br0,,,,,,,
2025-09-26T18:00:01Z,10.0.0.50,10.0.0.51,2223,22,TCP,ALLOW,128,301,br0,,,,,,,
2025-09-26T18:00:02Z,10.0.0.50,10.0.0.51,2224,22,TCP,ALLOW,128,301,br0,,,,,,,
2025-09-26T19:00:00Z,198.51.100.45,10.0.0.60,60000,3306,TCP,DENY,0,103,eth0,,,,,,,
2025-09-26T19:01:00Z,10.0.0.60,203.0.113.77,40000,53,UDP,ALLOW,64,210,eth1,,,,,,,
2025-09-26T19:01:05Z,10.0.0.60,203.0.113.78,40001,53,UDP,ALLOW,128,210,eth1,,,,,,,
2025-09-26T19:10:00Z,10.0.0.70,198.51.100.150,50000,22,TCP,DENY,0,101,eth0,,,,,,,
2025-09-26T19:15:00Z,10.0.0.80,198.51.100.151,52000,21,TCP,DENY,0,104,eth0,,,,,,,
2025-09-26T20:00:00Z,10.0.0.90,203.0.113.99,40002,8443,TCP,ALLOW,65536,201,eth1,,,,,,,
2025-09-26T20:05:00Z,198.51.100.200,10.0.0.95,1234,22,TCP,DENY,0,101,eth0,,,,,,,
2025-09-26T20:10:00Z,10.0.0.95,198.51.100.201,45000,80,TCP,ALLOW,204800,201,eth1,,,,,,,
2025-09-26T20:12:00Z,10.0.0.95,198.51.100.202,45001,443,TCP,ALLOW,409600,201,eth1,,,,,,,
2025-09-26T21:00:00Z,198.51.100.210,10.0.0.100,65000,25,TCP,DENY,0,105,eth0,,,,,,,
2025-09-26T21:05:00Z,10.0.0.101,8.8.8.8,54321,53,UDP,ALLOW,240,210,eth1,,,,,,,
2025-09-26T21:05:05Z,10.0.0.101,8.8.4.4,54322,53,UDP,ALLOW,240,210,eth1,,,,,,,
2025-09-26T21:10:00Z,10.0.0.102,203.0.113.120,50000,8080,TCP,ALLOW,1024000,201,eth1,,,,,,,
2025-09-26T21:20:00Z,203.0.113.130,10.0.0.110,60000,3389,TCP,DENY,0,102,eth0,,,,,,,
2025-09-26T21:25:00Z,10.0.0.111,192.0.2.50,52000,443,TCP,ALLOW,51200,201,eth1,,,,,,,
2025-09-26T21:30:00Z,10.0.0.112,192.0.2.51,52001,22,TCP,DENY,0,101,eth0,,,,,,,
2025-09-26T22:00:00Z,10.0.0.120,198.51.100.250,41000,110,TCP,ALLOW,4096,201,eth1,,,,,,,
2025-09-26T22:05:00Z,198.51.100.250,10.0.0.121,33333,143,TCP,DENY,0,105,eth0,,,,,,,
2025-09-26T22:10:00Z,10.0.0.122,203.0.113.140,45002,8443,TCP,ALLOW,20480,201,eth1,,,,,,,
2025-09-26T22:15:00Z,198.51.100.251,10.0.0.123,60000,23,TCP,DENY,0,104,eth0,,,,,,,
2025-09-26T22:20:00Z,10.0.0.124,198.51.100.252,42000,80,TCP,ALLOW,30720,201,eth1,,,,,,,
2025-09-26T22:25:00Z,10.0.0.125,198.51.100.253,42001,443,TCP,ALLOW,61440,201,eth1,,,,,,,
2025-09-26T22:30:00Z,10.0.0.126,203.0.113.150,43000,22,TCP,DENY,0,101,eth0,,,,,,,
2025-09-26T22:35:00Z,198.51.100.254,10.0.0.127,10000,3389,TCP,DENY,0,102,eth0,,,,,,,
2025-09-26T23:00:00Z,10.0.0.200,192.0.2.60,55000,443,TCP,ALLOW,921600,201,eth1,,,,,,,
